Epoch: 1000, MSE_u: 0.9972, MSE_f: 17.9134, MSE: 18.9106
Epoch: 2000, MSE_u: 0.9999, MSE_f: 17.0994, MSE: 18.0993
Epoch: 3000, MSE_u: 1.0000, MSE_f: 16.9961, MSE: 17.9961
Epoch: 4000, MSE_u: 1.0000, MSE_f: 16.9566, MSE: 17.9566
Epoch: 5000, MSE_u: 1.0000, MSE_f: 16.9388, MSE: 17.9388
Epoch: 6000, MSE_u: 1.0000, MSE_f: 16.9296, MSE: 17.9296
Epoch: 7000, MSE_u: 1.0000, MSE_f: 16.9250, MSE: 17.9250
Epoch: 8000, MSE_u: 1.0000, MSE_f: 16.9222, MSE: 17.9222
Epoch: 9000, MSE_u: 1.0000, MSE_f: 16.9203, MSE: 17.9203
Epoch: 10000, MSE_u: 1.0000, MSE_f: 16.9188, MSE: 17.9188
Epoch: 11000, MSE_u: 1.0000, MSE_f: 16.9169, MSE: 17.9169
Epoch: 12000, MSE_u: 1.0000, MSE_f: 16.9146, MSE: 17.9146
Epoch: 13000, MSE_u: 1.0000, MSE_f: 16.9129, MSE: 17.9129
Epoch: 14000, MSE_u: 1.0000, MSE_f: 16.9112, MSE: 17.9112
Epoch: 15000, MSE_u: 1.0000, MSE_f: 16.9086, MSE: 17.9086
Epoch: 16000, MSE_u: 1.0000, MSE_f: 16.8976, MSE: 17.8976
Epoch: 17000, MSE_u: 1.0000, MSE_f: 16.8921, MSE: 17.8921
Epoch: 18000, MSE_u: 1.0000, MSE_f: 16.8885, MSE: 17.8885
Epoch: 19000, MSE_u: 1.0000, MSE_f: 16.8796, MSE: 17.8796
Epoch: 20000, MSE_u: 1.0000, MSE_f: 16.8500, MSE: 17.8499
Epoch: 21000, MSE_u: 0.2707, MSE_f: 4.5966, MSE: 4.8673
Epoch: 22000, MSE_u: 0.0000, MSE_f: 0.0043, MSE: 0.0043
Epoch: 23000, MSE_u: 0.0000, MSE_f: 0.0021, MSE: 0.0021
Epoch: 24000, MSE_u: 0.0000, MSE_f: 0.0014, MSE: 0.0014
Epoch: 25000, MSE_u: 0.0000, MSE_f: 0.0010, MSE: 0.0010
Epoch: 26000, MSE_u: 0.0000, MSE_f: 0.0007, MSE: 0.0007
Epoch: 27000, MSE_u: 0.0000, MSE_f: 0.0008, MSE: 0.0008
Epoch: 28000, MSE_u: 0.0000, MSE_f: 0.0004, MSE: 0.0004
Epoch: 29000, MSE_u: 0.0000, MSE_f: 0.0003, MSE: 0.0003
Epoch: 30000, MSE_u: 0.0000, MSE_f: 0.0003, MSE: 0.0003
Epoch: 31000, MSE_u: 0.0000, MSE_f: 0.0002, MSE: 0.0002
Epoch: 32000, MSE_u: 0.0000, MSE_f: 0.0003, MSE: 0.0003
Epoch: 33000, MSE_u: 0.0000, MSE_f: 0.0002, MSE: 0.0002
Epoch: 34000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0002
Epoch: 35000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 36000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 37000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 38000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 39000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 40000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 41000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 42000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 43000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 44000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 45000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 46000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 47000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 48000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 49000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 50000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0001
Epoch: 51000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0001
Epoch: 52000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 53000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0001
Epoch: 54000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0001
Epoch: 55000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0001
Epoch: 56000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0001
Epoch: 57000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0001
Epoch: 58000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0001
Epoch: 59000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 60000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 61000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 62000, MSE_u: 0.0000, MSE_f: 0.0001, MSE: 0.0001
Epoch: 63000, MSE_u: 0.0000, MSE_f: 0.0016, MSE: 0.0016
Epoch: 64000, MSE_u: 0.0000, MSE_f: 0.0000, MSE: 0.0000
Epoch: 65000, MSE_u: 0.0000, MSE_f: 0.0011, MSE: 0.0011
